episode,agent,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,KL009,1,696.0,0,0.0,0,0.0,0,0.0,37.378758194036834
0,KL002,1,739.0,0,0.0,0,0.0,0,0.0,37.34320566061192
0,KL001,1,824.0,0,0.0,0,0.0,0,0.0,37.34480974296148
0,KL008,1,910.0,0,0.0,0,0.0,0,0.0,37.35582658545841
0,KL006,1,919.0,0,0.0,0,0.0,0,0.0,37.376051407046866
0,KL0010,1,941.0,0,0.0,0,0.0,0,0.0,37.39462292706454
0,KL004,1,948.0,0,0.0,0,0.0,0,0.0,37.30005497222074
0,KL007,1,1043.0,0,0.0,0,0.0,0,0.0,37.26955217754376
0,KL003,1,1211.0,0,0.0,0,0.0,0,0.0,37.27657776544297
0,KL005,1,1232.0,0,0.0,0,0.0,0,0.0,37.25994433727319
1,KL006,1,649.0,0,0.0,0,0.0,0,0.0,37.39182155048235
1,KL004,1,687.0,0,0.0,0,0.0,0,0.0,37.405589826193626
1,KL005,1,887.0,0,0.0,0,0.0,0,0.0,37.386713425419266
1,KL009,1,977.0,0,0.0,0,0.0,0,0.0,37.26147560426247
1,KL001,1,1088.0,0,0.0,0,0.0,0,0.0,37.30588788196231
1,KL008,1,1144.0,0,0.0,0,0.0,0,0.0,37.33521399166065
1,KL007,1,1219.0,0,0.0,0,0.0,0,0.0,37.24089981188313
1,KL003,1,1236.0,0,0.0,0,0.0,0,0.0,37.244666443294435
1,KL002,1,1330.0,0,0.0,0,0.0,0,0.0,37.17223044938068
1,KL0010,1,1627.0,0,0.0,0,0.0,0,0.0,37.17234360733024
